id,first_name,last_name,email,ip_address,customer_id,follow_success,user_agent,geo_lat,geo_lon,date
1,Guilbert,Pooley,gpooley0@reference.com,132.117.161.213,5af604da-1b86-4e07-8fd4-17e5a35705bf,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",46.3499163,15.1107601,8:41 PM
2,Manolo,Messenbird,mmessenbird1@oracle.com,202.118.43.10,80155429-b8d5-489d-93ae-9b92c94ceb60,false,"Mozilla/5.0 (Linux; Android 7.1.2; AFTMM Build/NS6265; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.110 Mobile Safari/537.36",7.138166,7.6697323,9:29 PM
3,Wallis,Glavias,wglavias2@theguardian.com,47.69.47.80,b07439f7-7c10-45fd-bc35-60195ceca46e,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",-14.0993396,-75.6891699,12:02 PM
4,Paige,Polkinhorn,ppolkinhorn3@timesonline.co.uk,230.72.179.186,5bc872c4-07ed-4830-925c-c2e58c75cc28,true,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,-7.5861751,110.1908889,3:14 PM
5,Neala,Brahams,nbrahams4@hexun.com,111.158.90.38,8e8fa6dd-034c-4260-914d-089cda953222,true,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",34.8100067,67.8212104,4:57 AM
6,Shellie,Brainsby,sbrainsby5@jugem.jp,151.84.157.91,30d714e5-732f-42fa-a350-22089d9a9c6c,false,Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0,38.172697,114.572919,9:43 AM
7,Celene,Rothschild,crothschild6@tinyurl.com,227.60.204.25,a3b0f140-14b3-4f00-adbd-30263f1a8a87,false,"Mozilla/5.0 (Linux; U; Android 2.2) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",41.5752196,26.2288126,5:14 PM
8,Griswold,Rosewell,grosewell7@nyu.edu,196.220.163.42,1213fce2-153d-4cb7-b35b-e96e07a06207,true,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,51.2308402,51.9665342,2:56 AM
9,Svend,Corry,scorry8@biblegateway.com,252.188.135.215,20a81e66-2146-4989-a722-61512d86c6ca,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",16.7137921,104.7345937,7:46 PM
10,Gram,Clampton,gclampton9@hatena.ne.jp,61.30.8.114,1bf95b0c-f40b-44f1-a61b-2ebef813c9ef,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",14.5671014,121.0312325,2:01 PM
11,Kalie,Acreman,kacremana@jugem.jp,167.213.243.90,0648117b-f63f-4827-b657-f9180481bae6,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1",-7.3646327,107.5505152,12:37 PM
12,Darline,Huston,dhustonb@is.gd,120.33.136.66,69d85218-135e-46e8-8017-776f489e5eb6,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",-6.8432007,107.612654,4:24 AM
13,Laure,MacConnal,lmacconnalc@meetup.com,224.17.29.121,57b5d07b-ac4f-4b4d-bdab-47a6d6f24547,false,Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0,16.7620996,-93.1560055,10:51 AM
14,Carrol,Pitkethly,cpitkethlyd@princeton.edu,53.230.147.206,d343ee1e-4169-4b11-9f79-3a9ec3d3d110,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",43.6347968,23.3663219,4:56 AM
15,Daphna,Sever,dsevere@ibm.com,27.162.137.4,d8e3c87d-d2b4-49b4-8048-7472ad5c8d96,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1",43.4931556,5.3698187,9:16 PM
16,Tedie,Flintoff,tflintofff@goodreads.com,129.186.139.67,fa19cd06-748d-466c-b7ff-ca331d03da05,false,"Mozilla/5.0 (Linux; Android 7.1.2; AFTMM Build/NS6265; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.110 Mobile Safari/537.36",27.5331693,68.7254605,4:48 PM
17,Bethanne,Lovelock,blovelockg@mlb.com,100.44.244.155,b94ab7e7-a734-4a86-a28f-bf4129389cca,false,Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0,-25.4809333,-64.9751483,10:56 AM
18,Eran,Fonteyne,efonteyneh@pen.io,13.136.195.74,5fe96ad2-caee-4bf9-9732-19a7cda3565b,true,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,42.4395419,-83.3155257,9:04 PM
19,Danya,Breydin,dbreydini@vimeo.com,44.219.100.11,39e6437a-ecbe-445b-8eca-a163ec3e3ece,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",4.920956,-75.063129,7:23 AM
20,Matthias,Baress,mbaressj@wsj.com,119.162.3.167,1522a317-445c-4bd6-b040-238b8a33822e,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",-2.7129174,102.8917556,10:42 PM
21,Quintina,Pacquet,qpacquetk@cnet.com,227.43.139.84,7387ac97-5da4-441e-b757-522fd6d1dbb3,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",28.314706,117.343545,6:49 AM
22,Farley,Cadamy,fcadamyl@prnewswire.com,240.188.16.143,1418dade-c655-455d-88d8-26ae237db2de,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",41.16417,20.62333,2:02 PM
23,Stephan,Ashness,sashnessm@patch.com,70.100.114.37,1591d1dc-8ddc-4467-92c3-c509d5de6dec,false,"Mozilla/5.0 (Linux; U; Android 2.2) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",-3.411598,114.8452,11:07 PM
24,Shanna,Penton,spentonn@alexa.com,23.197.63.180,a8b86cee-9320-4e6a-9cf6-89ad49786b7d,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",47.49116,3.91302,2:22 AM
25,Jaye,Clunie,jclunieo@posterous.com,100.65.29.253,2c871862-229d-4c1b-838d-3caada8b9474,true,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",9.829638,-85.325961,4:58 AM
26,Erminia,Leete,eleetep@bluehost.com,206.32.22.231,5dd3f7c9-2de0-4817-a256-f890d374bf30,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",29.731101,116.251947,11:04 AM
27,Curcio,Niaves,cniavesq@reference.com,182.141.140.236,7fb36a01-95a3-4f87-b9be-0fe867b679ae,true,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",32.53292,110.983684,2:57 PM
28,Del,Marl,dmarlr@webs.com,4.45.52.85,8c3f9dd9-a608-4c54-a4ac-d549348c6bbe,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",51.4506315,20.477146,9:02 AM
29,Decca,Linch,dlinchs@free.fr,30.138.136.79,0d7bb0ce-e56c-4f6d-a89d-d60db0a59fbb,true,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",13.81967,100.0601382,5:56 PM
30,Ardella,Gallego,agallegot@sun.com,154.165.191.56,2888918e-e2bc-40de-bc5a-4b74091151ac,false,Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0,39.0763,77.11814,10:06 PM
31,Park,Philcock,pphilcocku@pcworld.com,187.202.21.211,4a596812-3076-4dc1-9f4a-bf3a905e9829,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",45.742007,3.199309,2:08 AM
32,Elvin,Cleverley,ecleverleyv@jalbum.net,72.124.187.29,7f3b1c1e-2457-4422-a3ab-36edfe3211c1,false,Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0,48.2618635,37.8561647,4:33 PM
33,Fredra,Flear,fflearw@stanford.edu,180.114.141.36,58af94b2-847a-4218-8f1a-68bce833e8af,false,"Mozilla/5.0 (Linux; U; Android 2.2) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",18.2574908,-93.2212883,9:24 AM
